Регион,Период,Несовершеннолетние,Ранее_судимые,В_состоянии_опьянения,Иностранцы_и_СНГ
Республика Коми,112022,12573,38,64,0
Кабардино-Балкарская Республика,112022,6134,1,51,0
Карачаево-Черкесская Республика,112022,3771,0,81,1
Республика Дагестан,112022,12355,3,132,15
Республика Ингушетия,112022,1895,0,53,0
Республика Северная Осетия – Алания,112022,7097,1,125,7
Ставропольский край,112022,29935,0,46,12
Чеченская Республика,112022,1893,0,24,5
Астраханская область,112022,11195,13,100,1
Волгоградская область,112022,31413,29,194,2
г. Севастополь,112022,5589,1,54,4
Ростовская область,112022,49709,12,468,9
Краснодарский край,112022,67592,7,741,24
Республика Адыгея,112022,3715,5,63,0
Республика Калмыкия,112022,2307,3,31,0
Республика Крым,112022,18259,3,237,7
Кировская область,112022,15227,179,199,0
Нижегородская область,112022,34952,58,92,26
Оренбургская область,112022,18733,28,303,2
Пензенская область,112022,11183,48,152,1
Пермский край,112022,35697,128,173,4
Республика Татарстан,112022,46961,9,131,16
Республика Башкортостан,112022,44039,45,285,5
Республика Марий Эл,112022,6536,14,84,0
Республика Мордовия,112022,6763,21,71,0
Самарская область,112022,40994,758,277,7
Саратовская область,112022,25158,179,194,1
Удмуртская Республика,112022,21655,16,226,2
Ульяновская область,112022,10065,37,69,1
Чувашская Республика,112022,10613,11,162,0
Курганская область,112022,11056,1,249,3
Свердловская область,112022,45358,34,306,10
Тюменская область,112022,20564,25,162,6
Ханты-Мансийский автономный округ –  Югра,112022,17699,22,90,2
Ямало-Ненецкий автономный округ,112022,5801,5,40,0
Челябинская область,112022,54306,117,564,15
Алтайский край,112022,34395,139,253,4
Иркутская область,112022,31673,15,103,0
Кемеровская область – Кузбасс,112022,40488,170,325,17
Красноярский край,112022,38468,287,313,21
Новосибирская область,112022,41040,245,290,63
Омская область,112022,19726,90,213,5
Республика Алтай,112022,3941,4,60,0
Республика Тыва,112022,5783,42,35,5
Республика Хакасия,112022,8061,34,86,3
Томская область,112022,15988,61,138,6
Амурская область,112022,13777,41,321,0
Еврейская автономная область,112022,2498,10,65,0
Забайкальский край,112022,17482,64,180,1
Камчатский край,112022,4665,38,87,3
Магаданская область,112022,1957,3,85,1
Приморский край,112022,28048,217,743,64
Республика Бурятия,112022,17247,127,156,3
Республика Саха (Якутия),112022,10945,2,91,1
Сахалинская область,112022,7113,13,208,1
Хабаровский край,112022,18496,11,129,6
Чукотский автономный округ,112022,694,0,39,0
Транспорт России,112022,30332,0,573,1273
УТ МВД по Южному ФО,112022,1243,0,49,90
УТ МВД по Уральскому ФО,112022,3348,0,58,86
УТ МВД по Центральному ФО,112022,4960,0,102,318
УТ МВД по Приволжскому ФО,112022,5463,0,58,220
УТ МВД по Сибирскому ФО,112022,3515,0,78,120
УТ МВД по Северо-Западному ФО,112022,3899,0,49,186
УТ МВД по Дальневосточному ФО,112022,2808,0,48,50
УТ МВД по Северо-Кавказскому ФО,112022,2480,0,49,136
Белгородская область,122021,13262,3,117,14
Брянская область,122021,13152,10,154,8
Владимирская область,122021,15145,8,164,2
Воронежская область,122021,28017,7,126,8
Ивановская область,122021,11025,6,55,3
Калужская область,122021,14788,20,234,2
Костромская область,122021,8169,1,11,0
Курская область,122021,12504,6,72,14
г. Москва,122021,140162,289,151,43
Московская область,122021,70515,35,195,14
Липецкая область,122021,11990,0,81,2
Орловская область,122021,7444,11,53,2
Рязанская область,122021,8402,4,89,8
Смоленская область,122021,12831,11,187,10
Тамбовская область,122021,12597,20,48,1
Тверская область,122021,19000,3,133,4
Тульская область,122021,14045,28,141,15
Ярославская область,122021,14882,10,55,1
Архангельская область,122021,15283,19,116,7
Ненецкий автономный округ,122021,654,2,145,0
г. Санкт-Петербург,122021,60129,222,99,33
Ленинградская область,122021,25592,20,79,6
Вологодская область,122021,16279,19,74,0
Калининградская область,122021,12447,14,114,21
Мурманская область,122021,11078,11,188,14
Новгородская  область,122021,9823,12,78,0
Псковская область,122021,7652,30,118,3
Республика Карелия,122021,12558,40,138,15
Республика Коми,122021,13803,25,84,0
Кабардино-Балкарская Республика,122021,6716,1,21,3
Карачаево-Черкесская Республика,122021,3951,0,93,1
Республика Дагестан,122021,13336,0,186,20
Республика Ингушетия,122021,1935,0,41,2
Республика Северная Осетия – Алания,122021,7553,0,180,9
Ставропольский край,122021,32910,3,52,22
Чеченская Республика,122021,2706,6,32,1
Астраханская область,122021,12835,2,211,6
Волгоградская область,122021,35542,33,194,0
г. Севастополь,122021,5834,0,50,0
Ростовская область,122021,55248,0,451,11
Краснодарский край,122021,74080,9,793,31
Республика Адыгея,122021,4051,5,98,0
Республика Калмыкия,122021,2714,3,38,0
Республика Крым,122021,19342,6,176,9
Кировская область,122021,17083,154,173,1
Нижегородская область,122021,38282,55,100,18
Оренбургская область,122021,23324,9,324,10
Пензенская область,122021,12067,27,148,1
Пермский край,122021,37849,122,298,10
Республика Татарстан,122021,50163,12,139,12
Республика Башкортостан,122021,49503,49,288,10
Республика Марий Эл,122021,6861,22,89,1
Республика Мордовия,122021,7631,20,208,0
Самарская область,122021,40734,723,241,3
Саратовская область,122021,27721,270,107,3
Удмуртская Республика,122021,25085,33,111,3
Ульяновская область,122021,11052,64,65,4
Чувашская Республика,122021,11388,15,101,0
Курганская область,122021,13042,7,264,0
Свердловская область,122021,51805,35,246,14
Тюменская область,122021,22663,14,166,8
Ханты-Мансийский автономный округ –  Югра,122021,19603,30,128,0
Ямало-Ненецкий автономный округ,122021,6538,6,44,0
Челябинская область,122021,61708,109,572,10
Алтайский край,122021,37208,60,291,11
Иркутская область,122021,36041,2,127,3
Кемеровская область – Кузбасс,122021,46879,22,417,20
Красноярский край,122021,43718,198,455,17
Новосибирская область,122021,44193,242,282,35
Омская область,122021,22182,50,191,15
Республика Алтай,122021,4245,0,68,0
Республика Тыва,122021,8065,32,21,1
Республика Хакасия,122021,10169,14,33,1
Томская область,122021,15342,49,95,7
Амурская область,122021,16791,36,300,5
Еврейская автономная область,122021,2855,1,56,0
Забайкальский край,122021,19529,51,231,6
Камчатский край,122021,5420,40,87,3
Магаданская область,122021,2273,4,105,7
Приморский край,122021,31948,205,661,57
Республика Бурятия,122021,19403,156,179,1
Республика Саха (Якутия),122021,11875,2,36,0
Сахалинская область,122021,7925,23,182,9
Хабаровский край,122021,20574,7,136,3
Чукотский автономный округ,122021,649,1,54,0
Транспорт России,122021,33249,2,616,1686
УТ МВД по Южному ФО,122021,1369,0,72,68
УТ МВД по Уральскому ФО,122021,3394,0,86,70
УТ МВД по Центральному ФО,122021,6260,1,18,840
УТ МВД по Приволжскому ФО,122021,5685,1,45,102
УТ МВД по Сибирскому ФО,122021,4096,0,82,104
УТ МВД по Северо-Западному ФО,122021,3801,0,27,220
УТ МВД по Дальневосточному ФО,122021,3006,0,115,66
УТ МВД по Северо-Кавказскому ФО,122021,2606,0,64,107
Белгородская область,122022,13796,2,112,4
Брянская область,122022,12498,10,114,13
Владимирская область,122022,15128,7,130,0
Воронежская область,122022,28905,30,117,3
Ивановская область,122022,10677,17,130,0
Калужская область,122022,13572,31,212,1
Костромская область,122022,7438,4,24,0
Курская область,122022,12299,1,108,16
г. Москва,122022,134486,244,233,66
Московская область,122022,70490,67,226,4
Липецкая область,122022,12834,1,106,2
Орловская область,122022,7504,12,54,0
Рязанская область,122022,8434,3,83,3
Смоленская область,122022,13562,12,271,7
Тамбовская область,122022,12787,17,60,0
Тверская область,122022,19628,21,221,6
Тульская область,122022,14453,19,122,15
Ярославская область,122022,17047,21,79,2
Архангельская область,122022,15094,16,140,0
Ненецкий автономный округ,122022,603,0,22,0
г. Санкт-Петербург,122022,59056,544,87,44
Ленинградская область,122022,27217,74,63,31
Вологодская область,122022,16040,16,77,5
Калининградская область,122022,11781,34,127,8
Мурманская область,122022,11162,22,189,3
Новгородская  область,122022,10034,11,45,1
Псковская область,122022,7912,33,134,10
Республика Карелия,122022,10938,30,166,9
Республика Коми,122022,13506,96,65,0
Кабардино-Балкарская Республика,122022,6499,1,49,1
Карачаево-Черкесская Республика,122022,4089,0,84,1
Республика Дагестан,122022,13034,3,166,14
Республика Ингушетия,122022,2048,0,53,0
Республика Северная Осетия – Алания,122022,7605,2,144,10
Ставропольский край,122022,32513,0,57,16
Чеченская Республика,122022,2046,0,26,2
Астраханская область,122022,12105,13,112,2
Волгоградская область,122022,33918,35,210,0
г. Севастополь,122022,6025,1,58,4
Ростовская область,122022,54190,14,520,10
Краснодарский край,122022,73099,8,768,24
Республика Адыгея,122022,4028,4,71,0
Республика Калмыкия,122022,2463,3,34,0
Республика Крым,122022,19326,3,251,7
Кировская область,122022,16497,185,299,0
Нижегородская область,122022,37354,64,80,24
Оренбургская область,122022,20205,28,328,1
Пензенская область,122022,12054,51,162,1
Пермский край,122022,38297,135,192,4
Республика Татарстан,122022,50635,8,133,17
Республика Башкортостан,122022,47657,48,296,5
Республика Марий Эл,122022,7035,14,84,0
Республика Мордовия,122022,7273,22,72,0
Самарская область,122022,44122,833,284,5
Саратовская область,122022,27143,190,209,1
Удмуртская Республика,122022,23328,17,229,2
Ульяновская область,122022,10909,41,73,1
Чувашская Республика,122022,11522,13,166,0
Курганская область,122022,11860,1,259,3
Свердловская область,122022,49209,34,329,11
Тюменская область,122022,22245,27,166,6
Ханты-Мансийский автономный округ –  Югра,122022,19144,23,99,2
Ямало-Ненецкий автономный округ,122022,6272,6,39,0
Челябинская область,122022,59142,128,610,15
Алтайский край,122022,37227,140,273,4
Иркутская область,122022,34469,14,123,0
Кемеровская область – Кузбасс,122022,43766,177,352,18
Красноярский край,122022,41885,316,371,26
Новосибирская область,122022,44368,268,293,52
Омская область,122022,21317,94,240,5
Республика Алтай,122022,4195,4,66,0
Республика Тыва,122022,6229,43,40,5
Республика Хакасия,122022,8589,34,87,3
Томская область,122022,17158,62,144,6
Амурская область,122022,14798,48,338,0
Еврейская автономная область,122022,2720,11,63,0
Забайкальский край,122022,18800,67,192,2
Камчатский край,122022,4992,42,88,3
Магаданская область,122022,2093,3,89,1
Приморский край,122022,30335,231,812,62
Республика Бурятия,122022,18707,128,165,3
Республика Саха (Якутия),122022,11978,0,103,2
Сахалинская область,122022,7690,10,249,2
Хабаровский край,122022,20033,12,137,6
Чукотский автономный округ,122022,747,0,41,0
Транспорт России,122022,32169,2,623,1373
УТ МВД по Южному ФО,122022,1287,0,52,98
УТ МВД по Уральскому ФО,122022,3552,0,64,89
УТ МВД по Центральному ФО,122022,5315,0,107,345
УТ МВД по Приволжскому ФО,122022,5808,2,66,225
УТ МВД по Сибирскому ФО,122022,3698,0,94,130
УТ МВД по Северо-Западному ФО,122022,4185,0,54,204
УТ МВД по Дальневосточному ФО,122022,2964,0,51,52
УТ МВД по Северо-Кавказскому ФО,122022,2585,0,50,148
